Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud

14/01/2020,-0.1,2.2,-2.5,0.0,1030.3,0,14,1
13/01/2020,0.3,2.2,-1.6,2,1026.3,350,15,5
12/01/2020,0.7,3.0,-1.6,0.0,1024.8,355,13,3
11/01/2020,2.0,4.9,-0.8,0.0,1024.2,336,17,7
10/01/2020,1.6,4.9,-1.6,0.0,1025.1,344,11,4
09/01/2020,0.6,2.9,-1.7,0.0,1028.0,338,7,4
08/01/2020,0.8,3.3,-1.7,0.0,1028.4,333,18,1
07/01/2020,3.9,8.2,-0.4,11.4,1018.3,342,29,8
06/01/2020,5.2,8.2,2.2,15.2,1020.0,354,11,8
05/01/2020,4.8,7.5,2.2,7.0,1027.4,101,14,8
04/01/2020,3.5,7.1,-0.2,0.0,1029.1,339,8,0
03/01/2020,2.8,5.7,-0.2,0.0,1028.9,342,10,5
02/01/2020,1.3,4.9,-2.3,0.0,1031.0,330,9,6
01/01/2020,-0.5,4.3,-5.3,0.0,1032.3,245,7,0
31/12/2019,-1.6,2.2,-5.3,0.0,1037.8,278,10,0
30/12/2019,3.1,10.6,-4.3,0.0,1036.4,341,32,0
29/12/2019,7.5,10.6,4.5,2,1022.0,179,7,7
28/12/2019,4.7,9.2,0.1,2,1023.3,194,13,2
27/12/2019,3.5,6.9,0.1,0.0,1025.4,218,10,0
26/12/2019,3.6,6.2,1.0,0.0,1026.5,316,18,5
25/12/2019,3.5,7.9,-0.9,10.3,1023.1,3,16,8
